label,accuracy-mean,accuracy-std,precision-mean,precision-std,recall-mean,recall-std,f05-mean,f05-std,gmean-mean,gmean-std,auc-mean,auc-std,mcc-mean,mcc-std
a,0.781818188,0.02815518365021742,0.8483144712505922,0.0419347816988231,0.8417257848610724,0.0191814353030369,0.8466228574451107,0.03286684621669458,0.8447316940210253,0.02137245795919437,0.8217462122302486,0.02932330485963201,0.4789225440339496,0.06957809550666735
h,0.768831174,0.023118154121093467,0.828195046252586,0.0497989567957665,0.8672008664616608,0.041594242954396635,0.8345735019950382,0.03428516342579931,0.8465333403546342,0.011772716834652123,0.8154337109801576,0.03130540178979858,0.39870042570948777,0.07673616297635623
v,0.883116874,0.028304535812383156,0.942265531612739,0.025806491611584874,0.9176842129146816,0.02283541889277847,0.937104966271906,0.021762232125551874,0.9297881534745995,0.018705611420113753,0.9175366176664965,0.028603885416892173,0.5861853403885152,0.06593059967847724
