Training,Validation
0.7099346,1.14766824245453
2.0454128,1.23196387290955
0.8929705,1.14107835292816
1.0843555,0.658294558525085
0.95482564,0.611954092979431
0.9440445,0.89719033241272
0.8428205,0.907068192958832
0.7829664,0.711745798587799
0.67991364,0.575233817100525
0.8516851,0.570185244083405
0.7669237,0.640056967735291
0.6692816,0.892501175403595
0.63439006,1.01043879985809
0.68459594,0.873641312122345
0.7609823,0.685262322425842
0.68927085,0.586668014526367
0.61250854,0.601168930530548
1.0402391,0.580408275127411
0.6429715,0.647836863994598
0.48931018,0.788596332073212
0.725935,0.817045509815216
0.7382068,0.743887007236481
0.5630448,0.66728949546814
0.60449016,0.612415313720703
0.57230616,0.600503504276276
0.5740381,0.60303795337677
0.6439565,0.61767441034317
0.6496019,0.654109299182892
0.50499225,0.701054334640503
0.589502,0.75844794511795
0.6683162,0.739008963108063
0.58883095,0.68281364440918
0.5756733,0.605344772338867
0.65985787,0.582048654556274
0.5924286,0.583771109580994
0.7072333,0.622939169406891
0.628563,0.695139646530151
0.6436981,0.779146492481232
0.6664752,0.715041160583496
0.6581094,0.627526998519897
0.49354425,0.593287110328674
0.61668456,0.577230215072632
0.6098598,0.57105940580368
0.58325577,0.580118298530579
0.6033194,0.621137678623199
0.61329186,0.687427759170532
0.5201471,0.740402460098267
0.6229532,0.704662024974823
0.4674578,0.651802122592926
0.564242,0.598796963691711
0.6404436,0.580362379550934
0.5685142,0.577463686466217
0.5447914,0.587498307228088
0.6121695,0.628568649291992
0.5107902,0.685284554958344
0.55660003,0.704608500003815
0.5411687,0.696273565292358
0.50502455,0.666456580162048
0.5964891,0.61623626947403
0.6389774,0.589129865169525
0.5043663,0.573845565319061
0.4348753,0.576208770275116
0.56066823,0.576641619205475
0.5292012,0.597787857055664
0.5027171,0.624976754188538
0.49225843,0.697579205036163
0.55629396,0.705024063587189
0.43940586,0.652016997337341
0.5305768,0.574348568916321
0.40609482,0.559970915317535
0.54478216,0.570289969444275
0.6742663,0.559038698673248
0.6197414,0.582887649536133
0.50935704,0.710296094417572
0.5900782,0.797903776168823
0.50201815,0.787291347980499
0.60088974,0.658568561077118
0.48736614,0.571604311466217
0.53952086,0.566339790821075
0.6134504,0.569438695907593
0.60894966,0.581491589546204
0.4413166,0.613278269767761
0.5313784,0.663182973861694
0.4936249,0.70303225517273
0.46722656,0.627815902233124
0.45874992,0.575268864631653
0.52048767,0.573283493518829
0.45562875,0.591638565063477
0.47613966,0.625431597232819
0.4924485,0.701630771160126
0.47717136,0.69486540555954
0.5422931,0.595225393772125
0.483227,0.564147055149078
0.5495894,0.55915504693985
0.53186744,0.57634049654007
0.5209611,0.646807253360748
0.43805072,0.726669430732727
0.55754304,0.714355230331421
0.4036481,0.634778082370758
0.4511569,0.580025434494019
0.43764526,0.580393493175507
0.47669673,0.611775994300842
0.4357177,0.633547484874725
0.45409375,0.622494995594025
0.40707922,0.628453254699707
0.47743654,0.647832632064819
0.46395856,0.616240382194519
0.4107683,0.5931276679039
0.4467995,0.582759499549866
0.4137739,0.60368263721466
0.4209206,0.614259123802185
0.37544224,0.613281190395355
0.44271547,0.586555480957031
0.42198753,0.585045576095581
0.4006796,0.593868315219879
0.34086168,0.603687942028046
0.4120555,0.643545567989349
0.41318226,0.644206821918487
0.45335263,0.599731206893921
0.3326499,0.58306747674942
0.37756512,0.584888815879822
0.41211963,0.596501886844635
0.53256035,0.594763159751892
0.4673103,0.608558714389801
0.4052017,0.702687621116638
0.44694898,0.712664425373077
0.3837868,0.633120357990265
0.36640894,0.576478600502014
0.2954841,0.56753146648407
0.48880067,0.583775520324707
0.46281484,0.626402676105499
0.36793572,0.650645792484283
0.36797553,0.630074203014374
0.30612636,0.616079449653626
0.41362032,0.612114071846008
0.38972333,0.609119594097137
0.31068143,0.614619314670563
0.35935986,0.674617111682892
0.32078248,0.779699981212616
0.30431467,0.773552179336548
0.30935657,0.739668190479279
0.3318538,0.669686198234558
0.35708538,0.61232590675354
0.3625792,0.601016461849213
0.25349665,0.598792016506195
0.33708808,0.588320910930633
0.427573,0.64334374666214
0.32669544,0.690301358699799
0.3630171,0.645065903663635
0.3090765,0.618261337280273
0.41390032,0.629745543003082
0.38386983,0.611386716365814
0.27392375,0.620380401611328
0.23527956,0.671046555042267
0.30952653,0.701270639896393
0.21424755,0.732096314430237
0.33724046,0.650096595287323
0.34352875,0.611030399799347
0.40365162,0.607510566711426
0.44228333,0.629287481307983
0.29767704,0.683912336826324
0.29683813,0.764590561389923
0.38307783,0.638689279556274
0.2768193,0.624651074409485
0.31551617,0.652988255023956
0.34470028,0.604480981826782
0.33508173,0.747951507568359
0.25302657,1.08788430690765
0.41622496,1.04353797435761
0.61827207,0.675158321857452
0.2866012,0.702438235282898
0.3904113,0.738793134689331
0.604555,0.704187273979187
0.40728283,0.949973523616791
0.39955503,0.904430627822876
0.48485178,0.676834881305695
0.33723983,0.633517563343048
0.32656687,0.632456481456757
0.39058942,0.621915280818939
