Acrosome/Train,Acrosome/Valid,Head/Train,Head/Valid,Vacuole/Train,Vacuole/Valid
0.515625,0.725000023841858,0.5625,0.266666680574417,0.234375,0.870833337306976
0.5,0.4375,0.4375,0.737500011920929,0.78125,0.866666674613953
0.609375,0.445833325386047,0.484375,0.712499976158142,0.859375,0.487500011920929
0.421875,0.704166650772095,0.546875,0.366666674613953,0.46875,0.879166662693024
0.609375,0.733333349227905,0.5,0.404166668653488,0.875,0.866666674613953
0.46875,0.404166668653488,0.515625,0.654166638851166,0.875,0.866666674613953
0.46875,0.379166662693024,0.5625,0.720833361148834,0.78125,0.866666674613953
0.453125,0.545833349227905,0.5,0.716666638851166,0.859375,0.875
0.5625,0.720833361148834,0.453125,0.404166668653488,0.8125,0.758333325386047
0.5,0.729166686534882,0.5625,0.279166668653488,0.75,0.716666638851166
0.546875,0.579166650772095,0.453125,0.445833325386047,0.734375,0.850000023841858
0.609375,0.400000005960465,0.609375,0.637499988079071,0.796875,0.887499988079071
0.6875,0.316666662693024,0.5625,0.695833325386047,0.765625,0.879166662693024
0.5625,0.425000011920929,0.546875,0.725000023841858,0.90625,0.870833337306976
0.59375,0.579166650772095,0.625,0.695833325386047,0.78125,0.870833337306976
0.546875,0.699999988079071,0.609375,0.566666662693024,0.859375,0.870833337306976
0.71875,0.720833361148834,0.640625,0.612500011920929,0.84375,0.879166662693024
0.421875,0.716666638851166,0.59375,0.683333337306976,0.859375,0.816666662693024
0.625,0.625,0.609375,0.6875,0.78125,0.758333325386047
0.84375,0.491666674613953,0.5625,0.6875,0.875,0.741666674613953
0.578125,0.462500005960465,0.59375,0.600000023841858,0.734375,0.833333313465118
0.5625,0.533333361148834,0.671875,0.583333313465118,0.765625,0.883333325386047
0.78125,0.645833313465118,0.703125,0.579166650772095,0.828125,0.883333325386047
0.640625,0.670833349227905,0.609375,0.604166686534882,0.828125,0.883333325386047
0.71875,0.704166650772095,0.59375,0.637499988079071,0.859375,0.883333325386047
0.703125,0.712499976158142,0.671875,0.637499988079071,0.890625,0.883333325386047
0.640625,0.708333313465118,0.671875,0.654166638851166,0.875,0.879166662693024
0.6875,0.675000011920929,0.703125,0.691666662693024,0.921875,0.883333325386047
0.75,0.633333325386047,0.515625,0.629166662693024,0.84375,0.875
0.703125,0.533333361148834,0.640625,0.545833349227905,0.875,0.870833337306976
0.671875,0.558333337306976,0.703125,0.495833337306976,0.828125,0.879166662693024
0.65625,0.620833337306976,0.484375,0.550000011920929,0.90625,0.879166662693024
0.6875,0.679166674613953,0.625,0.670833349227905,0.890625,0.891666650772095
0.65625,0.712499976158142,0.578125,0.737500011920929,0.90625,0.895833313465118
0.625,0.712499976158142,0.640625,0.737500011920929,0.90625,0.879166662693024
0.640625,0.666666686534882,0.765625,0.725000023841858,0.890625,0.883333325386047
0.671875,0.5625,0.609375,0.699999988079071,0.890625,0.883333325386047
0.65625,0.520833313465118,0.625,0.641666650772095,0.796875,0.891666650772095
0.609375,0.541666686534882,0.765625,0.574999988079071,0.796875,0.887499988079071
0.625,0.658333361148834,0.734375,0.604166686534882,0.96875,0.887499988079071
0.78125,0.708333313465118,0.6875,0.675000011920929,0.90625,0.875
0.65625,0.704166650772095,0.75,0.679166674613953,0.8125,0.875
0.65625,0.716666638851166,0.734375,0.675000011920929,0.875,0.879166662693024
0.65625,0.712499976158142,0.71875,0.629166662693024,0.828125,0.883333325386047
0.6875,0.675000011920929,0.765625,0.574999988079071,0.828125,0.887499988079071
0.625,0.591666638851166,0.65625,0.537500023841858,0.828125,0.883333325386047
0.75,0.529166638851166,0.75,0.583333313465118,0.796875,0.883333325386047
0.671875,0.574999988079071,0.71875,0.654166638851166,0.90625,0.883333325386047
0.765625,0.629166662693024,0.765625,0.708333313465118,0.796875,0.870833337306976
0.71875,0.683333337306976,0.625,0.699999988079071,0.78125,0.875
0.71875,0.675000011920929,0.765625,0.633333325386047,0.890625,0.875
0.765625,0.6875,0.625,0.608333349227905,0.890625,0.866666674613953
0.703125,0.666666686534882,0.75,0.612500011920929,0.875,0.866666674613953
