Acrosome/Train,Acrosome/Valid,Head/Train,Head/Valid,Vacuole/Train,Vacuole/Valid
0.578125,0.708333313465118,0.46875,0.266666680574417,0.265625,0.870833337306976
0.546875,0.333333343267441,0.53125,0.383333325386047,0.84375,0.866666674613953
0.453125,0.412499994039535,0.46875,0.75,0.921875,0.654166638851166
0.515625,0.362500011920929,0.484375,0.754166662693024,0.546875,0.858333349227905
0.546875,0.716666638851166,0.34375,0.279166668653488,0.796875,0.870833337306976
0.546875,0.670833349227905,0.53125,0.266666680574417,0.78125,0.858333349227905
0.46875,0.466666668653488,0.3125,0.333333343267441,0.859375,0.858333349227905
0.515625,0.358333319425583,0.5,0.758333325386047,0.875,0.829166650772095
0.453125,0.675000011920929,0.46875,0.745833337306976,0.765625,0.712499976158142
0.625,0.708333313465118,0.5625,0.745833337306976,0.59375,0.870833337306976
0.5,0.662500023841858,0.5,0.595833361148834,0.890625,0.862500011920929
0.5625,0.329166680574417,0.5625,0.4375,0.890625,0.862500011920929
0.453125,0.458333343267441,0.453125,0.558333337306976,0.765625,0.866666674613953
0.59375,0.545833349227905,0.46875,0.745833337306976,0.859375,0.866666674613953
0.484375,0.5625,0.59375,0.779166638851166,0.78125,0.862500011920929
0.609375,0.658333361148834,0.484375,0.774999976158142,0.8125,0.850000023841858
0.65625,0.641666650772095,0.53125,0.758333325386047,0.796875,0.779166638851166
0.625,0.645833313465118,0.75,0.666666686534882,0.78125,0.762499988079071
0.609375,0.629166662693024,0.453125,0.537500023841858,0.71875,0.870833337306976
0.46875,0.524999976158142,0.546875,0.404166668653488,0.8125,0.879166662693024
0.484375,0.558333337306976,0.453125,0.420833319425583,0.8125,0.866666674613953
0.625,0.520833313465118,0.390625,0.558333337306976,0.90625,0.875
0.640625,0.466666668653488,0.484375,0.649999976158142,0.8125,0.875
0.625,0.324999988079071,0.5625,0.699999988079071,0.90625,0.870833337306976
0.515625,0.366666674613953,0.578125,0.695833325386047,0.875,0.862500011920929
0.5625,0.520833313465118,0.515625,0.675000011920929,0.859375,0.875
0.53125,0.699999988079071,0.515625,0.512499988079071,0.875,0.866666674613953
0.546875,0.729166686534882,0.53125,0.379166662693024,0.8125,0.858333349227905
0.59375,0.708333313465118,0.4375,0.408333331346512,0.84375,0.858333349227905
0.515625,0.729166686534882,0.46875,0.483333319425583,0.875,0.850000023841858
