Training,Validation
0.818436,0.718536376953125
0.8782419,0.522970318794251
0.24652085,0.703695058822632
0.8118423,0.540853917598724
0.7247833,0.678450226783752
1.0644083,0.560821950435638
0.66201,0.398968249559402
0.45527703,0.449100345373154
0.53911114,0.605233252048492
0.7236971,0.372742533683777
0.29831076,0.372048944234848
0.37423277,0.437666356563568
0.7954844,0.435891926288605
0.46886835,0.390612542629242
0.5719334,0.344220280647278
0.36214384,0.401028573513031
0.46677753,0.524376928806305
0.5015116,0.551700234413147
0.5851156,0.378233343362808
0.43796572,0.328537315130234
0.36941501,0.330303370952606
0.3073409,0.348404258489609
0.4562112,0.361285090446472
0.3040074,0.371949195861816
0.37617415,0.374089300632477
0.46597254,0.359027206897736
0.41400462,0.345319241285324
0.4405408,0.341878056526184
0.35357678,0.35701847076416
0.35110623,0.362096011638641
0.36887306,0.360710203647613
0.4714137,0.340806841850281
0.5595013,0.334683984518051
0.32821974,0.322284191846848
0.4884747,0.318714648485184
0.5358387,0.320880323648453
0.39281842,0.32575786113739
0.50822365,0.35276398062706
0.40783828,0.357354432344437
0.42375103,0.338618785142899
0.33168292,0.323094308376312
0.23934095,0.358994990587234
0.35764343,0.402237117290497
0.26092905,0.428341239690781
0.39763492,0.41452768445015
0.58556944,0.358900755643845
0.49101907,0.323458880186081
0.47085494,0.387166678905487
0.43331987,0.416148513555527
0.47652996,0.384499609470367
0.3965233,0.3314548432827
0.34044558,0.325665086507797
0.37755543,0.330904692411423
0.32481283,0.336347758769989
0.3846041,0.332556903362274
0.5775013,0.329888224601746
0.38071743,0.356515496969223
0.49484125,0.386721283197403
0.4004394,0.382115513086319
0.45519426,0.344724923372269
0.38725352,0.315861433744431
0.3664112,0.306340217590332
0.31117156,0.311402320861816
0.5033933,0.313426017761231
0.4384358,0.310416430234909
0.50553477,0.304171115159988
0.4379961,0.305449336767197
0.3895105,0.326108872890472
0.37343025,0.344142496585846
0.38191414,0.327578157186508
0.3435126,0.299308866262436
0.4324566,0.290338039398193
0.31653237,0.286656558513641
0.41243866,0.285865217447281
0.20225143,0.286087542772293
0.34969246,0.287711977958679
0.39120108,0.293325871229172
0.4240361,0.305123448371887
0.45280167,0.327316343784332
0.4674773,0.335624247789383
0.37654918,0.316145330667496
0.35809433,0.299848556518555
0.38525087,0.291055262088776
0.38095394,0.287787437438965
0.26962048,0.286469399929047
0.39531115,0.282782167196274
0.27468544,0.280431240797043
0.33155388,0.282300889492035
0.3683272,0.289148598909378
0.3253985,0.289537847042084
0.4189437,0.285737663507462
0.3119953,0.283458769321442
0.45171073,0.284477353096008
0.4781726,0.292080342769623
0.4880427,0.337897896766663
0.36303407,0.370589375495911
0.40857404,0.343705356121063
0.36353517,0.308991819620132
0.48385844,0.289792686700821
0.36994892,0.287908524274826
0.36362207,0.29145821928978
0.42353475,0.293447822332382
0.3485912,0.292693197727203
0.30804366,0.292140781879425
0.28612465,0.290681570768356
0.45495436,0.292532742023468
0.28331748,0.295359432697296
0.26278263,0.293554455041885
0.29089835,0.292870312929153
0.24080893,0.298772662878036
0.5180272,0.301254212856293
0.40661648,0.299881786108017
0.41207975,0.294625908136368
0.27668786,0.302816122770309
0.36849323,0.304941654205322
0.34924567,0.307894259691238
0.24564533,0.306036949157715
0.43839133,0.293297201395035
0.253653,0.282730281352997
0.2884194,0.281557708978653
0.41435063,0.284068495035172
0.52288944,0.281442701816559
0.40737167,0.293152987957001
0.34449452,0.325166493654251
0.51718354,0.370240390300751
0.42248994,0.410041332244873
0.37106127,0.389424055814743
0.40142375,0.334749102592468
0.32944894,0.291511029005051
0.4037149,0.286587238311768
0.5016446,0.29112920165062
0.2891302,0.293583512306213
0.5184401,0.291968375444412
0.31075656,0.295334368944168
0.28813305,0.304113864898682
0.31647938,0.315897881984711
0.26159444,0.315252870321274
0.36185506,0.309807628393173
0.36429682,0.296353459358215
0.4175109,0.289213001728058
0.37054506,0.284914582967758
0.40575713,0.283556312322617
0.41557804,0.283056795597076
0.42841744,0.286233723163605
0.21106842,0.29011332988739
0.35653782,0.294921576976776
0.31663007,0.291719824075699
0.3284372,0.288290441036224
0.32728225,0.285632073879242
0.35821474,0.285363018512726
0.28456944,0.286121934652328
0.2766622,0.28646132349968
0.36793965,0.286192327737808
0.2979999,0.286719679832458
0.3949502,0.28933721780777
0.40598997,0.289456695318222
0.37346444,0.297099232673645
0.43023574,0.308318555355072
0.2708801,0.299756318330765
0.30593854,0.292363733053207
0.36149728,0.289477527141571
0.26887357,0.292334467172623
0.44862658,0.293714195489883
0.21829656,0.295797914266586
0.4156254,0.290233045816422
0.3956984,0.284725815057755
0.4978431,0.300654917955399
0.4288674,0.368597537279129
0.27004936,0.400813788175583
0.42639858,0.34396356344223
0.41205874,0.288527429103851
0.33652437,0.281974643468857
0.27545398,0.306168884038925
0.2916283,0.329178363084793
0.5828426,0.323219180107117
0.43322998,0.304911464452744
0.4894379,0.285999327898026
0.2930053,0.278434753417969
0.40419656,0.278858691453934
0.43182033,0.291335850954056
0.37956715,0.30655574798584
0.41670078,0.315365165472031
0.37380832,0.31036764383316
0.34582892,0.293387532234192
0.40578005,0.286721885204315
0.32058394,0.279976963996887
0.37771407,0.279741674661636
0.45462418,0.283065021038055
0.24468274,0.284541726112366
0.42668027,0.288453668355942
0.3710366,0.289821535348892
0.27513978,0.288356959819794
0.35239178,0.287817269563675
0.33702397,0.287003695964813
0.36164364,0.285004049539566
0.3062719,0.284169316291809
0.43088374,0.282622516155243
0.38097358,0.281480401754379
0.340508,0.280413627624512
0.44344148,0.280030936002731
0.22358526,0.279613047838211
0.44047242,0.281660556793213
0.3334472,0.28190866112709
0.32253608,0.281834930181503
0.34645736,0.282537907361984
0.36220887,0.282058387994766
0.45504886,0.286289870738983
0.32459605,0.291598677635193
0.2707162,0.298753619194031
0.394068,0.312157958745956
0.3466532,0.320074528455734
0.44833717,0.311049818992615
0.27135468,0.30145463347435
0.30665052,0.294627010822296
0.34603825,0.293146252632141
0.3564325,0.290240734815598
0.27868935,0.290021687746048
0.4155872,0.288605481386185
0.3452693,0.288806855678558
0.3426659,0.291104584932327
0.23343456,0.290802121162415
0.39825904,0.28842830657959
0.17778425,0.289676666259766
0.18847337,0.292227923870087
0.40432543,0.289384782314301
0.4975107,0.289774775505066
0.3271894,0.316677749156952
0.22641432,0.321791976690292
0.3088815,0.307378143072128
0.35395193,0.293362349271774
0.3829719,0.298829704523087
0.2996972,0.317446529865265
0.52910006,0.315958291292191
0.57034296,0.303143441677093
0.31629688,0.29707008600235
0.27944687,0.298085480928421
0.38903248,0.305943489074707
0.5902264,0.333111822605133
0.35161388,0.342953741550446
0.374672,0.321863859891891
0.28249374,0.300063639879227
0.2590433,0.294796943664551
0.26964432,0.303286164999008
0.36925745,0.307014018297195
0.4486459,0.30224621295929
0.45489445,0.293559968471527
0.2960085,0.289628088474274
0.44313034,0.302923500537872
0.30242422,0.326459765434265
0.40978163,0.341827988624573
0.38426548,0.331411361694336
0.46448994,0.314729124307632
0.34812844,0.294907212257385
0.35494652,0.28852590918541
0.2475377,0.297806620597839
0.27232578,0.316737174987793
0.55609167,0.324558883905411
0.40817356,0.322638362646103
0.59484637,0.30460649728775
0.30094764,0.292997360229492
0.33345044,0.28823858499527
0.2808559,0.29134327173233
0.36608666,0.298449248075485
0.3622892,0.304439276456833
0.33278757,0.307634323835373
0.37163472,0.306180983781815
0.4254623,0.302757084369659
0.23632185,0.297810614109039
0.26919907,0.30015704035759
0.26367357,0.311036556959152
0.32835132,0.318876445293427
0.36311498,0.319036036729813
0.5149016,0.308873653411865
0.4087874,0.300475239753723
0.2570575,0.303431332111359
0.21677448,0.310792744159698
0.3823169,0.313084334135056
0.47528285,0.313286453485489
0.4039608,0.311697006225586
0.5401393,0.310443431138992
0.317423,0.306517720222473
0.3143488,0.302389711141586
0.32797757,0.302064269781113
0.3249696,0.305470377206802
0.27110726,0.311588734388351
0.31045532,0.316462874412537
0.42144704,0.313426584005356
0.48542786,0.300697654485703
0.5314881,0.293594241142273
0.19555098,0.295511811971664
0.2819665,0.301107347011566
0.3797573,0.307616084814072
0.25444466,0.304317861795425
0.31401265,0.301433891057968
0.5231428,0.303288578987122
0.35603988,0.30933079123497
0.39952216,0.310346394777298
0.3781852,0.301778376102447
0.39797336,0.296997129917145
0.35466856,0.292752325534821
0.24307823,0.293837040662766
0.3315662,0.300003230571747
0.4456074,0.303839147090912
0.26680022,0.3082475066185
0.29087242,0.309817016124725
0.22253378,0.313881695270538
0.28660768,0.318229198455811
0.46392784,0.309152036905289
0.30555648,0.299611032009125
0.27836546,0.293887257575989
0.5038703,0.29295426607132
0.28631812,0.301117956638336
0.33655775,0.307277381420135
0.42065284,0.312883883714676
0.2951692,0.310691207647324
