Training,Validation
0.46875,0.266666680574417
0.53125,0.383333325386047
0.46875,0.75
0.484375,0.754166662693024
0.34375,0.279166668653488
0.53125,0.266666680574417
0.3125,0.333333343267441
0.5,0.758333325386047
0.46875,0.745833337306976
0.5625,0.745833337306976
0.5,0.595833361148834
0.5625,0.4375
0.453125,0.558333337306976
0.46875,0.745833337306976
0.59375,0.779166638851166
0.484375,0.774999976158142
0.53125,0.758333325386047
0.75,0.666666686534882
0.453125,0.537500023841858
0.546875,0.404166668653488
0.453125,0.420833319425583
0.390625,0.558333337306976
0.484375,0.649999976158142
0.5625,0.699999988079071
0.578125,0.695833325386047
0.515625,0.675000011920929
0.515625,0.512499988079071
0.53125,0.379166662693024
0.4375,0.408333331346512
0.46875,0.483333319425583
0.421875,0.658333361148834
0.609375,0.733333349227905
0.625,0.754166662693024
0.53125,0.75
0.6875,0.716666638851166
0.5625,0.654166638851166
0.515625,0.454166680574417
0.5,0.412499994039535
0.625,0.429166674613953
0.484375,0.458333343267441
0.578125,0.616666674613953
0.5625,0.691666662693024
0.53125,0.695833325386047
0.640625,0.6875
0.546875,0.645833313465118
0.5,0.662500023841858
0.546875,0.645833313465118
0.640625,0.670833349227905
0.578125,0.704166650772095
0.625,0.708333313465118
0.546875,0.691666662693024
0.75,0.595833361148834
0.484375,0.425000011920929
0.65625,0.412499994039535
0.5625,0.474999994039535
0.578125,0.595833361148834
0.65625,0.679166674613953
0.5,0.725000023841858
0.640625,0.729166686534882
0.546875,0.695833325386047
0.515625,0.699999988079071
0.75,0.712499976158142
0.59375,0.725000023841858
0.671875,0.695833325386047
0.625,0.658333361148834
0.65625,0.649999976158142
0.546875,0.662500023841858
0.59375,0.654166638851166
0.5625,0.645833313465118
0.65625,0.625
0.671875,0.649999976158142
0.546875,0.6875
0.6875,0.741666674613953
0.640625,0.75
0.5625,0.745833337306976
0.5625,0.725000023841858
0.625,0.675000011920929
0.5,0.608333349227905
0.578125,0.491666674613953
0.546875,0.508333325386047
0.5,0.600000023841858
0.609375,0.670833349227905
0.5625,0.699999988079071
0.609375,0.762499988079071
0.53125,0.708333313465118
0.578125,0.654166638851166
0.640625,0.574999988079071
0.53125,0.504166662693024
0.671875,0.520833313465118
0.59375,0.524999976158142
0.578125,0.583333313465118
0.5,0.683333337306976
0.625,0.745833337306976
0.578125,0.754166662693024
0.609375,0.741666674613953
0.484375,0.675000011920929
0.59375,0.558333337306976
0.6875,0.370833337306976
0.640625,0.295833319425583
0.484375,0.3125
0.53125,0.362500011920929
0.609375,0.487500011920929
0.640625,0.604166686534882
0.546875,0.629166662693024
0.59375,0.620833337306976
0.59375,0.625
0.4375,0.612500011920929
0.53125,0.645833313465118
0.734375,0.6875
0.53125,0.712499976158142
0.578125,0.699999988079071
0.65625,0.6875
0.671875,0.583333313465118
0.734375,0.458333343267441
0.625,0.354166656732559
0.59375,0.379166662693024
0.484375,0.566666662693024
0.625,0.704166650772095
0.625,0.733333349227905
0.609375,0.75
0.640625,0.729166686534882
0.59375,0.699999988079071
0.484375,0.691666662693024
0.5,0.583333313465118
0.53125,0.5625
0.6875,0.604166686534882
0.671875,0.649999976158142
0.578125,0.583333313465118
0.546875,0.554166674613953
0.53125,0.537500023841858
0.609375,0.529166638851166
0.625,0.491666674613953
0.59375,0.558333337306976
0.578125,0.658333361148834
0.5,0.708333313465118
0.59375,0.733333349227905
0.640625,0.699999988079071
0.546875,0.662500023841858
0.5625,0.533333361148834
0.65625,0.433333337306976
0.640625,0.362500011920929
0.5625,0.425000011920929
0.625,0.495833337306976
0.53125,0.670833349227905
0.671875,0.699999988079071
0.625,0.716666638851166
0.671875,0.725000023841858
0.484375,0.708333313465118
0.5625,0.662500023841858
0.71875,0.462500005960465
0.671875,0.362500011920929
0.5,0.375
0.625,0.445833325386047
0.5625,0.600000023841858
0.671875,0.699999988079071
0.5625,0.729166686534882
0.59375,0.733333349227905
0.578125,0.729166686534882
0.625,0.716666638851166
0.625,0.641666650772095
0.546875,0.504166662693024
0.640625,0.383333325386047
0.578125,0.341666668653488
0.5,0.341666668653488
0.609375,0.362500011920929
0.59375,0.449999988079071
0.65625,0.545833349227905
0.5,0.679166674613953
0.6875,0.733333349227905
0.640625,0.762499988079071
0.53125,0.762499988079071
0.625,0.762499988079071
0.640625,0.758333325386047
0.46875,0.6875
0.609375,0.487500011920929
0.578125,0.366666674613953
0.515625,0.295833319425583
0.421875,0.320833325386047
0.546875,0.483333319425583
0.625,0.645833313465118
0.609375,0.699999988079071
0.6875,0.720833361148834
0.625,0.716666638851166
0.5625,0.737500011920929
0.46875,0.683333337306976
0.65625,0.629166662693024
0.640625,0.483333319425583
0.546875,0.358333319425583
0.546875,0.291666656732559
0.453125,0.287499994039535
0.578125,0.349999994039535
0.625,0.483333319425583
0.640625,0.579166650772095
0.609375,0.699999988079071
0.453125,0.725000023841858
0.703125,0.754166662693024
0.6875,0.729166686534882
0.609375,0.725000023841858
0.625,0.679166674613953
0.640625,0.637499988079071
0.515625,0.574999988079071
0.546875,0.550000011920929
0.640625,0.508333325386047
0.609375,0.416666656732559
0.5,0.412499994039535
0.484375,0.445833325386047
0.609375,0.529166638851166
0.640625,0.600000023841858
0.5625,0.666666686534882
0.578125,0.704166650772095
0.65625,0.741666674613953
0.625,0.741666674613953
0.609375,0.737500011920929
0.609375,0.699999988079071
0.65625,0.683333337306976
0.6875,0.579166650772095
0.625,0.429166674613953
0.53125,0.349999994039535
0.6875,0.316666662693024
0.609375,0.304166674613953
0.5,0.379166662693024
0.65625,0.470833331346512
0.625,0.620833337306976
0.546875,0.691666662693024
0.5,0.704166650772095
0.625,0.716666638851166
0.6875,0.708333313465118
0.640625,0.708333313465118
0.640625,0.725000023841858
0.65625,0.708333313465118
0.625,0.695833325386047
0.609375,0.683333337306976
0.59375,0.612500011920929
0.4375,0.625
0.53125,0.600000023841858
0.5625,0.616666674613953
0.53125,0.633333325386047
0.65625,0.699999988079071
0.640625,0.691666662693024
0.5625,0.720833361148834
0.671875,0.733333349227905
0.515625,0.729166686534882
0.546875,0.708333313465118
0.578125,0.708333313465118
0.640625,0.662500023841858
0.53125,0.658333361148834
0.640625,0.679166674613953
0.640625,0.725000023841858
0.65625,0.733333349227905
0.625,0.725000023841858
0.671875,0.725000023841858
0.703125,0.712499976158142
0.5625,0.704166650772095
0.671875,0.670833349227905
0.59375,0.616666674613953
0.625,0.508333325386047
0.65625,0.445833325386047
0.625,0.462500005960465
0.546875,0.441666662693024
0.671875,0.454166680574417
0.71875,0.433333337306976
0.59375,0.454166680574417
0.5625,0.520833313465118
0.515625,0.641666650772095
0.65625,0.729166686534882
0.578125,0.737500011920929
0.609375,0.741666674613953
0.5625,0.741666674613953
0.578125,0.720833361148834
0.59375,0.704166650772095
0.578125,0.620833337306976
0.65625,0.558333337306976
0.625,0.520833313465118
0.515625,0.5625
0.59375,0.587499976158142
0.625,0.587499976158142
0.640625,0.587499976158142
0.71875,0.591666638851166
0.65625,0.625
0.671875,0.645833313465118
0.5,0.637499988079071
0.59375,0.637499988079071
0.609375,0.625
0.703125,0.629166662693024
0.609375,0.608333349227905
0.640625,0.574999988079071
0.5625,0.574999988079071
0.640625,0.591666638851166
0.6875,0.591666638851166
0.6875,0.629166662693024
0.59375,0.675000011920929
0.609375,0.683333337306976
0.609375,0.675000011920929
0.703125,0.641666650772095
0.625,0.574999988079071
0.65625,0.504166662693024
0.515625,0.429166674613953
0.5,0.441666662693024
0.65625,0.487500011920929
0.46875,0.554166674613953
0.515625,0.645833313465118
0.6875,0.691666662693024
0.703125,0.6875
0.703125,0.691666662693024
0.671875,0.695833325386047
0.625,0.695833325386047
0.5,0.699999988079071
0.5625,0.716666638851166
0.625,0.725000023841858
0.578125,0.695833325386047
