Training,Validation
0.677865,0.716819941997528
1.0491483,1.23375809192657
0.93058366,0.874239265918732
0.7047888,0.910989344120026
0.7785293,0.611225485801697
0.74624974,0.6178377866745
0.80863124,0.779460847377777
0.7037884,0.876322865486145
0.8805944,0.625388979911804
0.67721117,0.611495196819305
0.76607937,0.642954766750336
0.77320766,0.855208456516266
0.8016844,0.770339071750641
0.6754415,0.734490811824799
0.7160872,0.715968728065491
0.6678898,0.63379567861557
0.7015124,0.663345873355866
0.6594129,0.639423668384552
0.6770116,0.666652023792267
0.7396537,0.737301409244537
0.7167923,0.709628820419312
0.6406001,0.71529221534729
0.6686527,0.79461681842804
0.6257581,0.947434842586517
0.81468856,0.9083012342453
0.72099805,0.771636188030243
0.744122,0.615364849567413
0.6889533,0.590435862541199
0.6858627,0.595634400844574
0.7514288,0.587318241596222
0.80178463,0.623022615909576
0.6713391,0.784780621528626
0.7523626,0.889695107936859
0.66449875,0.856082379817963
0.6254387,0.754496395587921
0.7074671,0.634758353233337
0.8039623,0.606669306755066
0.78150415,0.617172300815582
0.6877934,0.648805022239685
0.69053787,0.655774414539337
0.6891779,0.700902819633484
0.69648015,0.73397421836853
0.7169106,0.739166855812073
0.6995834,0.717703819274902
0.6922929,0.697187185287476
0.72565484,0.640690207481384
0.59412277,0.608485400676727
0.69165695,0.591566443443298
0.6585225,0.584108889102936
0.82538617,0.603923201560974
0.7099289,0.692821681499481
0.65667737,0.824222326278687
0.6622597,1.01235795021057
0.70597184,1.07616531848907
0.81317437,0.95115602016449
0.7158514,0.783788561820984
0.7425127,0.654166579246521
0.73857105,0.608124434947968
0.70394236,0.59578412771225
0.806829,0.606576383113861
0.7910432,0.666939914226532
0.7176905,0.802559018135071
0.6832503,0.962555587291718
0.6916106,1.00789189338684
0.8682862,0.908675372600555
0.7364172,0.774756610393524
0.694617,0.680509150028229
0.70773983,0.624997019767761
0.6679086,0.604306638240814
0.7213568,0.598630309104919
0.7605989,0.608167707920074
0.6746001,0.635578513145447
0.6965306,0.681079030036926
0.7111248,0.746026635169983
0.68129194,0.757719218730927
0.7112151,0.731155753135681
0.63031656,0.689306139945984
0.68842006,0.662246346473694
0.6637468,0.651532053947449
0.69096386,0.676280856132507
0.7206513,0.692376434803009
0.628901,0.704625189304352
0.6664556,0.690438866615295
0.623807,0.652969717979431
0.61927444,0.619673013687134
0.71865493,0.598042845726013
0.67210186,0.594953000545502
0.6645151,0.60837197303772
0.6769352,0.670027494430542
0.6701059,0.745649874210358
0.5950941,0.819965720176697
0.7413847,0.823766589164734
0.6764989,0.754526495933533
0.65519214,0.70861554145813
0.6591923,0.635810792446137
0.6188874,0.609033644199371
0.69552577,0.605963349342346
0.6694619,0.618026316165924
0.6274617,0.655598759651184
