epoch,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss,valid-precision,valid-recall,valid-f1.0-score,valid-f0.5-score,valid-tp,valid-fp,valid-fn,valid-tn,test-acc,test-loss,test-precision,test-recall,test-f1.0-score,test-f0.5-score,test-tp,test-fp,test-fn,test-tn
38,0.546875,0.78150415,0.7041666507720947,0.6171723008155823,0.7696335078534031,0.8448275862068966,0.8054794520547945,0.7835820895522386,147,44,27,22,0.6633333563804626,0.6036770343780518,0.7352941176470589,0.8215962441314554,0.7760532150776053,0.7510729613733906,175,63,38,24
39,0.59375,0.6877934,0.6583333611488342,0.6488050222396851,0.7738095238095238,0.7471264367816092,0.760233918128655,0.7683215130023641,130,38,44,28,0.6666666865348816,0.6284728050231934,0.7677725118483413,0.7605633802816901,0.7641509433962264,0.7663197729422895,162,49,51,38
40,0.5,0.69053787,0.6458333134651184,0.6557744145393372,0.7730061349693251,0.7241379310344828,0.7477744807121662,0.7627118644067796,126,37,48,29,0.6566666960716248,0.6353630423545837,0.7722772277227723,0.7323943661971831,0.7518072289156627,0.7639569049951028,156,46,57,41
41,0.59375,0.6891779,0.5708333253860474,0.7009028196334839,0.7669172932330827,0.5862068965517241,0.6644951140065146,0.7223796033994334,102,31,72,35,0.5933333039283752,0.6805965304374695,0.782608695652174,0.5915492957746479,0.6737967914438503,0.7351225204200701,126,35,87,52
42,0.65625,0.69648015,0.5416666865348816,0.7339742183685303,0.7807017543859649,0.5114942528735632,0.6180555555555555,0.7063492063492064,89,25,85,41,0.5633333325386047,0.7175388336181641,0.7971014492753623,0.5164319248826291,0.6267806267806268,0.7189542483660131,110,28,103,59
43,0.609375,0.7169106,0.5291666388511658,0.7391668558120728,0.7850467289719626,0.4827586206896552,0.5978647686832741,0.6976744186046512,84,23,90,43,0.5533333420753479,0.728210985660553,0.8110236220472441,0.4835680751173709,0.6058823529411764,0.7142857142857143,103,24,110,63
44,0.515625,0.6995834,0.5625,0.7177038192749023,0.7948717948717948,0.5344827586206896,0.6391752577319587,0.7242990654205607,93,24,81,42,0.5699999928474426,0.7117449045181274,0.8181818181818182,0.5070422535211268,0.6260869565217392,0.728744939271255,108,24,105,63
45,0.5,0.6922929,0.5791666507720947,0.6971871852874756,0.7874015748031497,0.5747126436781609,0.6644518272425249,0.7331378299120236,100,27,74,39,0.5866666436195374,0.6970808506011963,0.8156028368794326,0.539906103286385,0.6497175141242938,0.74002574002574,115,26,98,61
46,0.484375,0.72565484,0.6291666626930237,0.6406902074813843,0.7607361963190185,0.7126436781609196,0.7359050445103857,0.7506053268765134,124,39,50,27,0.6233333349227905,0.6458150148391724,0.7717391304347826,0.6666666666666666,0.7153652392947103,0.7481559536354057,142,42,71,45
47,0.734375,0.59412277,0.6666666865348816,0.6084854006767273,0.7554347826086957,0.7988505747126436,0.776536312849162,0.7637362637362637,139,45,35,21,0.6633333563804626,0.6168384552001953,0.7592592592592593,0.7699530516431925,0.7645687645687647,0.7613741875580315,164,52,49,35
48,0.546875,0.69165695,0.6791666746139526,0.5915664434432983,0.7437185929648241,0.8505747126436781,0.7935656836461126,0.7628865979381444,148,51,26,15,0.6733333468437195,0.602047860622406,0.7385892116182573,0.8356807511737089,0.7841409691629956,0.756159728122345,178,63,35,24
49,0.609375,0.6585225,0.6958333253860474,0.5841088891029358,0.7463414634146341,0.8793103448275862,0.8073878627968337,0.7696177062374244,153,52,21,14,0.6800000071525574,0.5958952903747559,0.7330677290836654,0.863849765258216,0.7931034482758621,0.7559572719802794,184,67,29,20
50,0.46875,0.82538617,0.6583333611488342,0.6039232015609741,0.7473118279569892,0.7988505747126436,0.772222222222222,0.7570806100217864,139,47,35,19,0.6633333563804626,0.6130955219268799,0.7456140350877193,0.7981220657276995,0.7709750566893424,0.7555555555555555,170,58,43,29
51,0.5,0.7099289,0.5916666388511658,0.6928216814994812,0.8166666666666667,0.5632183908045977,0.6666666666666665,0.749235474006116,98,22,76,44,0.5666666626930237,0.6975476145744324,0.7985611510791367,0.5211267605633803,0.6306818181818181,0.7217165149544863,111,28,102,59
52,0.5625,0.65667737,0.4333333373069763,0.8242223262786865,0.8518518518518519,0.26436781609195403,0.40350877192982454,0.5897435897435899,46,8,128,58,0.4166666567325592,0.8221943378448486,0.8392857142857143,0.22065727699530516,0.34944237918215615,0.5377574370709381,47,9,166,78
53,0.640625,0.6622597,0.32499998807907104,1.0123579502105713,0.875,0.08045977011494253,0.14736842105263157,0.2941176470588235,14,2,160,64,0.3233333230018616,1.001904010772705,0.8571428571428571,0.056338028169014086,0.10572687224669602,0.22304832713754646,12,2,201,85
54,0.609375,0.70597184,0.30000001192092896,1.0761653184890747,0.875,0.040229885057471264,0.07692307692307691,0.1699029126213592,7,1,167,65,0.3033333420753479,1.0609720945358276,0.75,0.028169014084507043,0.05429864253393665,0.12244897959183673,6,2,207,85
55,0.46875,0.81317437,0.3541666567325592,0.9511560201644897,0.8275862068965517,0.13793103448275862,0.23645320197044337,0.4137931034482758,24,5,150,61,0.34333333373069763,0.9384574294090271,0.7857142857142857,0.10328638497652583,0.1825726141078838,0.3384615384615385,22,6,191,81
56,0.546875,0.7158514,0.47083333134651184,0.7837885618209839,0.821917808219178,0.3448275862068966,0.48582995951417,0.6437768240343348,60,13,114,53,0.46666666865348816,0.7766466736793518,0.8271604938271605,0.3145539906103286,0.4557823129251701,0.6238361266294226,67,14,146,73
57,0.515625,0.7425127,0.6166666746139526,0.654166579246521,0.7662337662337663,0.6781609195402298,0.7195121951219511,0.7468354430379748,118,36,56,30,0.6200000047683716,0.6526448130607605,0.7591623036649214,0.6807511737089202,0.7178217821782179,0.7420675537359264,145,46,68,41
