Training,Validation
0.515625,0.725000023841858
0.5,0.4375
0.609375,0.445833325386047
0.421875,0.704166650772095
0.609375,0.733333349227905
0.46875,0.404166668653488
0.46875,0.379166662693024
0.453125,0.545833349227905
0.5625,0.720833361148834
0.5,0.729166686534882
0.546875,0.579166650772095
0.609375,0.400000005960465
0.6875,0.316666662693024
0.5625,0.425000011920929
0.59375,0.579166650772095
0.546875,0.699999988079071
0.71875,0.720833361148834
0.421875,0.716666638851166
0.625,0.625
0.84375,0.491666674613953
0.578125,0.462500005960465
0.5625,0.533333361148834
0.78125,0.645833313465118
0.640625,0.670833349227905
0.71875,0.704166650772095
0.703125,0.712499976158142
0.640625,0.708333313465118
0.6875,0.675000011920929
0.75,0.633333325386047
0.703125,0.533333361148834
0.671875,0.558333337306976
0.65625,0.620833337306976
0.6875,0.679166674613953
0.65625,0.712499976158142
0.625,0.712499976158142
0.640625,0.666666686534882
0.671875,0.5625
0.65625,0.520833313465118
0.609375,0.541666686534882
0.625,0.658333361148834
0.78125,0.708333313465118
0.65625,0.704166650772095
0.65625,0.716666638851166
0.65625,0.712499976158142
0.6875,0.675000011920929
0.625,0.591666638851166
0.75,0.529166638851166
0.671875,0.574999988079071
0.765625,0.629166662693024
0.71875,0.683333337306976
0.71875,0.675000011920929
0.765625,0.6875
0.703125,0.666666686534882
0.71875,0.645833313465118
0.75,0.591666638851166
0.75,0.579166650772095
0.734375,0.566666662693024
0.71875,0.608333349227905
0.640625,0.658333361148834
0.640625,0.708333313465118
0.765625,0.720833361148834
0.8125,0.720833361148834
0.71875,0.729166686534882
0.734375,0.683333337306976
0.75,0.654166638851166
0.8125,0.600000023841858
0.65625,0.583333313465118
0.734375,0.641666650772095
0.703125,0.733333349227905
0.8125,0.75
0.6875,0.737500011920929
0.6875,0.754166662693024
0.65625,0.708333313465118
0.8125,0.554166674613953
0.671875,0.520833313465118
0.734375,0.508333325386047
0.6875,0.629166662693024
0.734375,0.725000023841858
0.765625,0.737500011920929
0.71875,0.733333349227905
0.65625,0.725000023841858
0.859375,0.6875
0.71875,0.645833313465118
0.734375,0.600000023841858
0.765625,0.654166638851166
0.828125,0.708333313465118
0.734375,0.716666638851166
0.8125,0.704166650772095
0.8125,0.641666650772095
0.75,0.574999988079071
0.75,0.583333313465118
0.6875,0.691666662693024
0.765625,0.729166686534882
0.734375,0.716666638851166
0.71875,0.691666662693024
0.71875,0.629166662693024
0.78125,0.600000023841858
0.71875,0.612500011920929
0.84375,0.654166638851166
0.796875,0.699999988079071
0.828125,0.699999988079071
0.75,0.679166674613953
0.828125,0.666666686534882
0.8125,0.683333337306976
0.8125,0.670833349227905
0.78125,0.637499988079071
0.78125,0.691666662693024
0.828125,0.699999988079071
0.78125,0.712499976158142
0.8125,0.691666662693024
0.8125,0.679166674613953
0.78125,0.6875
0.734375,0.720833361148834
0.84375,0.716666638851166
0.859375,0.708333313465118
