Training,Validation
0.265625,0.870833337306976
0.84375,0.866666674613953
0.921875,0.654166638851166
0.546875,0.858333349227905
0.796875,0.870833337306976
0.78125,0.858333349227905
0.859375,0.858333349227905
0.875,0.829166650772095
0.765625,0.712499976158142
0.59375,0.870833337306976
0.890625,0.862500011920929
0.890625,0.862500011920929
0.765625,0.866666674613953
0.859375,0.866666674613953
0.78125,0.862500011920929
0.8125,0.850000023841858
0.796875,0.779166638851166
0.78125,0.762499988079071
0.71875,0.870833337306976
0.8125,0.879166662693024
0.8125,0.866666674613953
0.90625,0.875
0.8125,0.875
0.90625,0.870833337306976
0.875,0.862500011920929
0.859375,0.875
0.875,0.866666674613953
0.8125,0.858333349227905
0.84375,0.858333349227905
0.875,0.850000023841858
0.8125,0.845833361148834
0.796875,0.858333349227905
0.765625,0.862500011920929
0.859375,0.883333325386047
0.84375,0.875
0.8125,0.870833337306976
0.84375,0.870833337306976
0.78125,0.850000023841858
0.84375,0.845833361148834
0.828125,0.858333349227905
0.875,0.866666674613953
0.921875,0.866666674613953
0.890625,0.866666674613953
0.90625,0.866666674613953
0.859375,0.866666674613953
0.828125,0.866666674613953
0.796875,0.870833337306976
0.8125,0.833333313465118
0.84375,0.820833325386047
0.796875,0.850000023841858
0.796875,0.875
0.84375,0.875
0.859375,0.875
0.828125,0.875
0.859375,0.870833337306976
0.8125,0.879166662693024
0.828125,0.870833337306976
0.8125,0.850000023841858
0.84375,0.858333349227905
0.8125,0.870833337306976
0.796875,0.879166662693024
0.828125,0.862500011920929
0.890625,0.858333349227905
0.8125,0.858333349227905
0.859375,0.862500011920929
0.796875,0.858333349227905
0.8125,0.862500011920929
0.796875,0.895833313465118
0.890625,0.891666650772095
0.859375,0.895833313465118
0.859375,0.891666650772095
0.8125,0.895833313465118
0.875,0.895833313465118
0.890625,0.891666650772095
0.9375,0.891666650772095
0.859375,0.891666650772095
0.859375,0.883333325386047
0.765625,0.887499988079071
0.796875,0.870833337306976
0.734375,0.862500011920929
0.859375,0.866666674613953
0.828125,0.875
0.84375,0.891666650772095
0.859375,0.891666650772095
0.875,0.887499988079071
0.8125,0.891666650772095
0.875,0.891666650772095
0.859375,0.883333325386047
0.828125,0.899999976158142
0.875,0.904166638851166
0.84375,0.883333325386047
0.875,0.887499988079071
0.8125,0.891666650772095
0.796875,0.891666650772095
0.734375,0.891666650772095
0.8125,0.862500011920929
0.8125,0.883333325386047
0.84375,0.883333325386047
0.796875,0.879166662693024
0.828125,0.870833337306976
0.84375,0.875
0.84375,0.875
0.828125,0.879166662693024
0.859375,0.875
0.84375,0.875
0.78125,0.883333325386047
0.875,0.875
0.90625,0.866666674613953
0.90625,0.879166662693024
0.90625,0.883333325386047
0.828125,0.887499988079071
0.828125,0.879166662693024
0.828125,0.875
0.875,0.870833337306976
0.765625,0.875
0.859375,0.870833337306976
0.890625,0.870833337306976
0.828125,0.883333325386047
0.921875,0.883333325386047
0.890625,0.879166662693024
0.8125,0.879166662693024
0.75,0.879166662693024
