epoch,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss,valid-precision,valid-recall,valid-f1.0-score,valid-f0.5-score,valid-tp,valid-fp,valid-fn,valid-tn,test-acc,test-loss,test-precision,test-recall,test-f1.0-score,test-f0.5-score,test-tp,test-fp,test-fn,test-tn
1,0.46875,0.73582345,0.2666666805744171,3.7411999702453613,0.0,0.0,0.0,0.0,0,0,176,64,0.27000001072883606,3.6376700401306152,0.0,0.0,0.0,0.0,0,0,219,81
2,0.53125,2.369968,0.38333332538604736,1.0087511539459229,0.868421052631579,0.1875,0.30841121495327106,0.5030487804878049,33,5,143,59,0.3499999940395355,0.9640976786613464,0.75,0.1643835616438356,0.2696629213483146,0.43795620437956206,36,12,183,69
3,0.46875,0.97177356,0.75,0.879531741142273,0.7478632478632479,0.9943181818181818,0.853658536585366,0.7868705035971222,175,59,1,5,0.7433333396911621,0.9158583283424377,0.7431506849315068,0.9908675799086758,0.8493150684931507,0.7822638788752704,217,75,2,6
4,0.484375,1.7460546,0.7541666626930237,0.5969687104225159,0.7554585152838428,0.9829545454545454,0.854320987654321,0.792124542124542,173,56,3,8,0.7366666793823242,0.5974850654602051,0.74822695035461,0.9634703196347032,0.8423153692614771,0.7832219747587231,211,71,8,10
5,0.34375,1.3190714,0.27916666865348816,1.3349937200546265,1.0,0.017045454545454544,0.0335195530726257,0.0797872340425532,3,0,173,64,0.27666667103767395,1.271119236946106,0.6666666666666666,0.0182648401826484,0.035555555555555556,0.08230452674897118,4,2,215,79
6,0.53125,0.807955,0.2666666805744171,2.091522216796875,0.0,0.0,0.0,0.0,0,0,176,64,0.27000001072883606,1.987470269203186,0.0,0.0,0.0,0.0,0,0,219,81
7,0.3125,1.7331829,0.3333333432674408,1.1042543649673462,0.9,0.10227272727272728,0.18367346938775514,0.35156250000000006,18,2,158,62,0.3233333230018616,1.0357999801635742,0.7857142857142857,0.1004566210045662,0.17813765182186234,0.3323262839879154,22,6,197,75
8,0.5,0.7969514,0.7583333253860474,0.5761756896972656,0.7757009345794392,0.9431818181818182,0.8512820512820513,0.804263565891473,166,48,10,16,0.7566666603088379,0.5536314845085144,0.7703703703703704,0.9497716894977168,0.8507157464212678,0.8006158583525789,208,62,11,19
9,0.46875,0.93092954,0.7458333373069763,0.5745379328727722,0.7555555555555555,0.9659090909090909,0.8478802992518704,0.7899628252788103,170,55,6,9,0.7599999904632568,0.551924467086792,0.7672727272727272,0.9634703196347032,0.8542510121457491,0.7998483699772554,211,64,8,17
10,0.5625,0.8639205,0.7458333373069763,0.5804935693740845,0.7625570776255708,0.9488636363636364,0.8455696202531645,0.793726235741445,167,52,9,12,0.7566666603088379,0.5538303852081299,0.7703703703703704,0.9497716894977168,0.8507157464212678,0.8006158583525789,208,62,11,19
11,0.5,0.7908764,0.5958333611488342,0.6887038946151733,0.7687074829931972,0.6420454545454546,0.6996904024767802,0.7395287958115183,113,34,63,30,0.6466666460037231,0.6596391201019287,0.8121546961325967,0.6712328767123288,0.735,0.7794273594909862,147,34,72,47
12,0.5625,0.73731506,0.4375,0.777366578578949,0.735632183908046,0.36363636363636365,0.4866920152091255,0.6106870229007634,64,23,112,41,0.4566666781902313,0.7510335445404053,0.78,0.3561643835616438,0.48902821316614425,0.630048465266559,78,22,141,59
13,0.453125,0.8369397,0.5583333373069763,0.7048870921134949,0.7777777777777778,0.5568181818181818,0.6490066225165563,0.7205882352941176,98,28,78,36,0.5933333039283752,0.6785076260566711,0.7904191616766467,0.6027397260273972,0.6839378238341969,0.7440811724915445,132,35,87,46
14,0.46875,0.8339267,0.7458333373069763,0.5841805338859558,0.7777777777777778,0.9147727272727273,0.8407310704960835,0.8017928286852589,161,46,15,18,0.7266666889190674,0.5663120746612549,0.7624521072796935,0.908675799086758,0.8291666666666666,0.7878068091844813,199,62,20,19
15,0.59375,0.6704174,0.7791666388511658,0.5651747584342957,0.7757847533632287,0.9829545454545454,0.8671679197994988,0.8099250936329588,173,50,3,14,0.746666669845581,0.5596585273742676,0.76,0.954337899543379,0.8461538461538461,0.7922668688400302,209,66,10,15
16,0.484375,0.820504,0.7749999761581421,0.5640360116958618,0.7723214285714286,0.9829545454545454,0.865,0.8069029850746269,173,51,3,13,0.7366666793823242,0.5634527802467346,0.7554744525547445,0.9452054794520548,0.8397565922920893,0.7870722433460076,207,67,12,14
17,0.53125,0.882241,0.7583333253860474,0.5684257745742798,0.780952380952381,0.9318181818181818,0.849740932642487,0.8070866141732282,164,46,12,18,0.7300000190734863,0.5625223517417908,0.7613636363636364,0.9178082191780822,0.8322981366459626,0.788235294117647,201,63,18,18
18,0.75,0.5743255,0.6666666865348816,0.6070536375045776,0.7696629213483146,0.7784090909090909,0.7740112994350281,0.7713963963963963,137,41,39,23,0.6633333563804626,0.5967605113983154,0.7681818181818182,0.771689497716895,0.7699316628701595,0.7688808007279345,169,51,50,30
19,0.453125,0.75986457,0.5375000238418579,0.7021940350532532,0.7927927927927928,0.5,0.613240418118467,0.7096774193548387,88,23,88,41,0.5600000023841858,0.6883670687675476,0.8041958041958042,0.5251141552511416,0.6353591160220995,0.7269279393173198,115,28,104,53
20,0.546875,0.72702885,0.40416666865348816,0.8254756331443787,0.7894736842105263,0.2556818181818182,0.38626609442060084,0.556930693069307,45,12,131,52,0.4300000071525574,0.8106070756912231,0.8870967741935484,0.2511415525114155,0.39145907473309605,0.588865096359743,55,7,164,74
21,0.453125,0.768835,0.4208333194255829,0.8089407086372375,0.8032786885245902,0.2784090909090909,0.41350210970464135,0.5833333333333333,49,12,127,52,0.4333333373069763,0.798089861869812,0.8450704225352113,0.273972602739726,0.41379310344827586,0.5964214711729622,60,11,159,70
22,0.390625,0.8057821,0.5583333373069763,0.7026088833808899,0.7777777777777778,0.5568181818181818,0.6490066225165563,0.7205882352941176,98,28,78,36,0.5933333039283752,0.6923856735229492,0.8089171974522293,0.5799086757990868,0.6755319148936171,0.7497048406139316,127,30,92,51
23,0.484375,0.7271968,0.6499999761581421,0.6553300023078918,0.7875,0.7159090909090909,0.7500000000000001,0.7720588235294117,126,34,50,30,0.653333306312561,0.6477243304252625,0.8010471204188482,0.6986301369863014,0.7463414634146341,0.7782299084435401,153,38,66,43
24,0.5625,0.7015817,0.699999988079071,0.6276705861091614,0.7857142857142857,0.8125,0.7988826815642458,0.790929203539823,143,39,33,25,0.6966666579246521,0.6234562397003174,0.7909090909090909,0.7945205479452054,0.7927107061503417,0.7916287534121929,174,46,45,35
25,0.578125,0.65863943,0.6958333253860474,0.6221670508384705,0.7845303867403315,0.8068181818181818,0.7955182072829131,0.7888888888888889,142,39,34,25,0.6933333277702332,0.6207053661346436,0.7797356828193832,0.8082191780821918,0.7937219730941704,0.7852706299911268,177,50,42,31
26,0.515625,0.70850766,0.675000011920929,0.6356333494186401,0.7722222222222223,0.7897727272727273,0.7808988764044944,0.7756696428571429,139,41,37,23,0.6899999976158142,0.6358410716056824,0.7837837837837838,0.7945205479452054,0.7891156462585033,0.7859078590785907,174,48,45,33
27,0.515625,0.74347794,0.512499988079071,0.7076088190078735,0.743801652892562,0.5113636363636364,0.606060606060606,0.6818181818181817,90,31,86,33,0.5833333134651184,0.703767716884613,0.7797619047619048,0.5981735159817352,0.6770025839793282,0.7351290684624018,131,37,88,44
28,0.53125,0.7181984,0.3791666626930237,0.8366294503211975,0.8,0.20454545454545456,0.3257918552036199,0.5056179775280899,36,9,140,55,0.34333333373069763,0.8229864835739136,0.6617647058823529,0.2054794520547945,0.313588850174216,0.4582484725050916,45,23,174,58
