epoch,train-acc,train-loss,valid-acc,valid-loss,valid-precision,valid-recall,valid-f1.0-score,valid-f0.5-score,valid-tp,valid-fp,valid-fn,valid-tn,test-acc,test-loss,test-precision,test-recall,test-f1.0-score,test-f0.5-score,test-tp,test-fp,test-fn,test-tn
1,0.46875,0.90097904,0.2974138,4.966256618499756,0.0,0.0,0.0,0.0,0,0,163,69,0.24350649,5.5131916999816895,0.0,0.0,0.0,0.0,0,0,233,75
2,0.53125,2.776902,0.6034483,1.2017076015472412,0.7591240875912408,0.6380368098159509,0.6933333333333334,0.731364275668073,104,33,59,36,0.5974026,0.9995033740997314,0.807909604519774,0.6137339055793991,0.697560975609756,0.7598299681190224,143,34,90,41
3,0.546875,1.4229671,0.69827586,0.9317713975906372,0.7513513513513513,0.852760736196319,0.7988505747126438,0.769656699889258,139,46,24,23,0.75,0.7607126235961914,0.8,0.8927038626609443,0.8438133874239352,0.816967792615868,208,52,25,23
4,0.421875,2.218596,0.5215517,0.8516252636909485,0.8023255813953488,0.4233128834355828,0.5542168674698796,0.6804733727810651,69,17,94,52,0.512987,0.8605213761329651,0.816793893129771,0.4592274678111588,0.5879120879120879,0.7067371202113607,107,24,126,51
5,0.578125,0.8472825,0.2974138,1.6966242790222168,0.0,0.0,0.0,0.0,0,0,163,69,0.24675325,1.8152703046798706,1.0,0.004291845493562232,0.008547008547008546,0.021097046413502112,1,0,232,75
6,0.640625,1.1106033,0.3275862,1.3485044240951538,1.0,0.04294478527607362,0.08235294117647059,0.18324607329842935,7,0,156,69,0.26623377,1.4619196653366089,0.8181818181818182,0.03862660944206009,0.07377049180327869,0.1624548736462094,9,2,224,73
7,0.46875,1.1746813,0.69827586,0.6020737886428833,0.7597765363128491,0.8343558282208589,0.7953216374269005,0.7736063708759954,136,43,27,26,0.6818182,0.6091097593307495,0.7732793522267206,0.8197424892703863,0.7958333333333334,0.7821457821457821,191,56,42,19
8,0.40625,1.0030744,0.6551724,0.6282083988189697,0.7318435754189944,0.803680981595092,0.7660818713450293,0.745164960182025,131,48,32,21,0.70454544,0.607842743396759,0.7933884297520661,0.8240343347639485,0.8084210526315789,0.7993338884263114,192,50,41,25
9,0.625,0.74378324,0.375,0.9439612627029419,0.6666666666666666,0.22085889570552147,0.3317972350230415,0.47493403693931396,36,18,127,51,0.36363637,0.9459737539291382,0.7283950617283951,0.2532188841201717,0.37579617834394907,0.5296229802513465,59,22,174,53
10,0.53125,0.8398433,0.31034482,1.2939019203186035,0.5882352941176471,0.06134969325153374,0.11111111111111112,0.21645021645021648,10,7,153,62,0.26623377,1.3012129068374634,0.6296296296296297,0.07296137339055794,0.13076923076923078,0.249266862170088,17,10,216,65
11,0.546875,0.79087627,0.2801724,1.1479862928390503,0.42857142857142855,0.0736196319018405,0.1256544502617801,0.21818181818181817,12,16,151,53,0.28246754,1.1228653192520142,0.6363636363636364,0.12017167381974249,0.20216606498194944,0.3422982885085574,28,16,205,59
12,0.53125,0.7850324,0.54310346,0.7497760057449341,0.7175572519083969,0.5766871165644172,0.6394557823129252,0.6841339155749636,94,37,69,32,0.6168831,0.6896336674690247,0.7860696517412935,0.6781115879828327,0.728110599078341,0.7618129218900673,158,43,75,32
13,0.53125,0.7655693,0.70258623,0.6400951743125916,0.7303921568627451,0.9141104294478528,0.8119891008174387,0.7609805924412666,149,55,14,14,0.7532467,0.561658501625061,0.7833935018050542,0.9313304721030042,0.8509803921568627,0.8090976882923191,217,60,16,15
14,0.546875,0.7996678,0.69827586,0.6575379371643066,0.7123287671232876,0.9570552147239264,0.8167539267015707,0.7507218479307025,156,63,7,6,0.76623374,0.5750917792320251,0.7766323024054983,0.9699570815450643,0.8625954198473282,0.8088761632068718,226,65,7,10
15,0.59375,0.80016476,0.69827586,0.6375088691711426,0.7203791469194313,0.9325153374233128,0.8128342245989305,0.7547169811320754,152,59,11,10,0.75,0.5732347965240479,0.7727272727272727,0.9484978540772532,0.8516377649325625,0.802469135802469,221,65,12,10
16,0.53125,0.7736708,0.67241377,0.647657573223114,0.7430167597765364,0.8159509202453987,0.7777777777777777,0.7565415244596131,133,46,30,23,0.6818182,0.6155704259872437,0.7710843373493976,0.8240343347639485,0.7966804979253113,0.7811228641171685,192,57,41,18
17,0.515625,0.7969491,0.51724136,0.8131471872329712,0.8072289156626506,0.4110429447852761,0.5447154471544716,0.6767676767676768,67,16,96,53,0.42857143,0.8458688855171204,0.8,0.3261802575107296,0.4634146341463415,0.6199021207177814,76,19,157,56
18,0.46875,0.99643356,0.4827586,0.8521218299865723,0.864406779661017,0.3128834355828221,0.4594594594594595,0.6390977443609023,51,8,112,61,0.37012988,0.8940779566764832,0.7532467532467533,0.24892703862660945,0.3741935483870968,0.5360443622920517,58,19,175,56
19,0.5625,0.7246558,0.5344828,0.7863080501556396,0.7777777777777778,0.4723926380368098,0.5877862595419847,0.6887298747763864,77,22,86,47,0.512987,0.812821090221405,0.8074074074074075,0.4678111587982833,0.592391304347826,0.7050452781371281,109,26,124,49
20,0.546875,0.80606425,0.6508621,0.705386757850647,0.7847222222222222,0.6932515337423313,0.7361563517915308,0.7645466847090663,113,31,50,38,0.60714287,0.7012977600097656,0.7978723404255319,0.6437768240343348,0.7125890736342043,0.7614213197969544,150,38,83,37
