epoch,train-acc,train-loss,valid-acc,valid-loss,valid-precision,valid-recall,valid-f1.0-score,valid-f0.5-score,valid-tp,valid-fp,valid-fn,valid-tn,test-acc,test-loss,test-precision,test-recall,test-f1.0-score,test-f0.5-score,test-tp,test-fp,test-fn,test-tn
1,0.46875,0.729102,0.6625000238418579,0.6525901556015015,0.7844311377245509,0.7443181818181818,0.7638483965014576,0.7760663507109005,131,36,45,28,0.653333306312561,0.650020956993103,0.7804878048780488,0.730593607305936,0.7547169811320755,0.7699711260827719,160,45,59,36
2,0.5,0.731992,0.7124999761581421,0.6002932786941528,0.7488372093023256,0.9147727272727273,0.823529411764706,0.777027027027027,161,54,15,10,0.7300000190734863,0.5924675464630127,0.7653846153846153,0.908675799086758,0.8308977035490605,0.790309769658459,199,61,20,20
3,0.5625,0.7446641,0.7083333134651184,0.5919967889785767,0.7476635514018691,0.9090909090909091,0.8205128205128205,0.7751937984496124,160,54,16,10,0.7300000190734863,0.5782463550567627,0.7613636363636364,0.9178082191780822,0.8322981366459626,0.788235294117647,201,63,18,18
4,0.640625,0.68760085,0.737500011920929,0.5677457451820374,0.7511111111111111,0.9602272727272727,0.8428927680798004,0.7853159851301116,169,56,7,8,0.7400000095367432,0.5479624271392822,0.7526881720430108,0.958904109589041,0.8433734939759036,0.7865168539325844,210,69,9,12
5,0.484375,0.78553,0.7333333492279053,0.573943018913269,0.7393162393162394,0.9829545454545454,0.8439024390243902,0.7778776978417267,173,61,3,3,0.7400000095367432,0.5523109436035156,0.7439446366782007,0.9817351598173516,0.8464566929133858,0.7818181818181817,215,74,4,7
6,0.515625,0.8621849,0.75,0.5585435032844543,0.7543859649122807,0.9772727272727273,0.8514851485148516,0.7904411764705883,172,56,4,8,0.7333333492279053,0.5388912558555603,0.7473309608540926,0.958904109589041,0.8400000000000001,0.7818317200297841,210,71,9,10
7,0.515625,0.73954046,0.737500011920929,0.5756801962852478,0.775609756097561,0.9034090909090909,0.8346456692913385,0.7981927710843373,159,46,17,18,0.746666669845581,0.5539126992225647,0.7782101167315175,0.91324200913242,0.8403361344537815,0.8019246190858059,200,57,19,24
8,0.546875,0.7283245,0.7416666746139526,0.5716208219528198,0.7766990291262136,0.9090909090909091,0.837696335078534,0.7999999999999999,160,46,16,18,0.75,0.5502021908760071,0.7790697674418605,0.9178082191780822,0.8427672955974842,0.8033573141486811,201,57,18,24
9,0.546875,0.7789345,0.75,0.5549556016921997,0.7636363636363637,0.9545454545454546,0.8484848484848485,0.7954545454545455,168,52,8,12,0.7433333396911621,0.5385448932647705,0.762962962962963,0.9406392694063926,0.8425357873210634,0.7929176289453426,206,64,13,17
10,0.5,0.8145639,0.7583333253860474,0.5861868262290955,0.7610619469026548,0.9772727272727273,0.8557213930348258,0.7962962962962963,172,54,4,10,0.7366666793823242,0.5793596506118774,0.7517985611510791,0.954337899543379,0.841046277665996,0.7851239669421488,209,69,10,12
11,0.53125,0.7846979,0.7541666626930237,0.5995076894760132,0.76,0.9715909090909091,0.8528678304239402,0.7946096654275092,171,54,5,10,0.7333333492279053,0.6030479669570923,0.7473309608540926,0.958904109589041,0.8400000000000001,0.7818317200297841,210,71,9,10
12,0.46875,0.84866047,0.7583333253860474,0.5852194428443909,0.7633928571428571,0.9715909090909091,0.855,0.7975746268656716,171,53,5,11,0.7400000095367432,0.6003743410110474,0.7526881720430108,0.958904109589041,0.8433734939759036,0.7865168539325844,210,69,9,12
13,0.609375,0.735855,0.7458333373069763,0.5778201222419739,0.7601809954751131,0.9545454545454546,0.8463476070528967,0.7924528301886792,168,53,8,11,0.746666669845581,0.6009130477905273,0.7581227436823105,0.958904109589041,0.8467741935483871,0.7912584777694048,210,67,9,14
14,0.515625,0.85165423,0.737500011920929,0.5868322849273682,0.7579908675799086,0.9431818181818182,0.8405063291139241,0.7889733840304183,166,53,10,11,0.7433333396911621,0.61720871925354,0.7591240875912408,0.9497716894977168,0.8438133874239351,0.7908745247148289,208,66,11,15
15,0.609375,0.671239,0.737500011920929,0.599828839302063,0.7703349282296651,0.9147727272727273,0.8363636363636364,0.7954545454545455,161,48,15,16,0.7366666793823242,0.6266353130340576,0.7611940298507462,0.9315068493150684,0.837782340862423,0.7900852052672347,204,64,15,17
