epoch,train-acc,train-loss,valid-acc,valid-loss,valid-precision,valid-recall,valid-f1.0-score,valid-f0.5-score,valid-tp,valid-fp,valid-fn,valid-tn,test-acc,test-loss,test-precision,test-recall,test-f1.0-score,test-f0.5-score,test-tp,test-fp,test-fn,test-tn
1,0.515625,0.7510421,0.7155172,0.8605876564979553,0.7161572052401747,0.9939393939393939,0.83248730964467,0.7585568917668825,164,65,1,2,0.74025977,0.7623445391654968,0.743421052631579,0.9912280701754386,0.849624060150376,0.7825484764542936,226,78,2,2
2,0.484375,1.5108871,0.28879312,5.786670207977295,0.0,0.0,0.0,0.0,0,0,165,67,0.25974026,6.031692981719971,0.0,0.0,0.0,0.0,0,0,228,80
3,0.546875,3.6348753,0.28879312,3.6913843154907227,0.0,0.0,0.0,0.0,0,0,165,67,0.25974026,3.835216522216797,0.0,0.0,0.0,0.0,0,0,228,80
4,0.46875,3.0723605,0.7155172,0.5935132503509521,0.72,0.9818181818181818,0.8307692307692308,0.76056338028169,162,63,3,4,0.74025977,0.5492980480194092,0.7450331125827815,0.9868421052631579,0.8490566037735848,0.7834261838440112,225,77,3,3
5,0.578125,0.730286,0.7112069,1.2941950559616089,0.7112068965517241,1.0,0.8312342569269521,0.7548032936870996,165,67,0,0,0.74025977,1.1700254678726196,0.7402597402597403,1.0,0.8507462686567165,0.7808219178082191,228,80,0,0
6,0.390625,2.6061988,0.7241379,0.6827114820480347,0.7224669603524229,0.9939393939393939,0.836734693877551,0.7642124883504193,164,63,1,4,0.73376626,0.6111487150192261,0.7401315789473685,0.9868421052631579,0.8458646616541353,0.7790858725761773,225,79,3,1
7,0.578125,0.9277228,0.38362068,1.0247595310211182,0.8235294117647058,0.1696969696969697,0.2814070351758794,0.4651162790697674,28,6,137,61,0.33116883,1.044385313987732,0.8055555555555556,0.12719298245614036,0.2196969696969697,0.3897849462365591,29,7,199,73
8,0.421875,1.0104765,0.38793105,1.0887583494186401,0.896551724137931,0.15757575757575756,0.26804123711340205,0.46263345195729527,26,3,139,64,0.32792208,1.1161839962005615,0.8387096774193549,0.11403508771929824,0.20077220077220076,0.36931818181818177,26,5,202,75
9,0.5,0.99627864,0.6163793,0.6753877997398376,0.796875,0.6181818181818182,0.6962457337883959,0.7533234859675036,102,26,63,41,0.6461039,0.6754172444343567,0.8287292817679558,0.6578947368421053,0.7334963325183375,0.7878151260504203,150,31,78,49
10,0.546875,0.76535606,0.7198276,0.5885154604911804,0.7525252525252525,0.9030303030303031,0.8209366391184574,0.7784743991640543,149,49,16,18,0.7467533,0.5642206072807312,0.7952755905511811,0.8859649122807017,0.8381742738589211,0.8118971061093248,202,52,26,28
11,0.625,0.84786445,0.7112069,0.6221805214881897,0.7333333333333333,0.9333333333333333,0.8213333333333334,0.7661691542288557,154,56,11,11,0.76623374,0.5776906609535217,0.7846715328467153,0.9429824561403509,0.8565737051792829,0.8119335347432025,215,59,13,21
12,0.546875,0.9991875,0.70689654,0.6031181216239929,0.7320574162679426,0.9272727272727272,0.8181818181818182,0.7642357642357641,153,56,12,11,0.7694805,0.5642707347869873,0.79182156133829,0.9342105263157895,0.857142857142857,0.8167177914110431,213,56,15,24
13,0.609375,0.7930262,0.7112069,0.5973348021507263,0.7606382978723404,0.8666666666666667,0.8101983002832862,0.7797164667393675,143,45,22,22,0.7012987,0.581365704536438,0.788135593220339,0.8157894736842105,0.8017241379310346,0.7935153583617748,186,50,42,30
14,0.5625,0.7746186,0.5258621,0.7397335767745972,0.7835051546391752,0.46060606060606063,0.5801526717557253,0.6871609403254972,76,21,89,46,0.52597404,0.7503670454025269,0.8059701492537313,0.47368421052631576,0.5966850828729281,0.706806282722513,108,26,120,54
15,0.578125,0.74765146,0.40086207,0.9065725207328796,0.8823529411764706,0.18181818181818182,0.3015075376884422,0.49833887043189373,30,4,135,63,0.36363637,0.9320943355560303,0.8636363636363636,0.16666666666666666,0.2794117647058823,0.4702970297029703,38,6,190,74
16,0.484375,0.9440956,0.43103448,0.8364759683609009,0.851063829787234,0.24242424242424243,0.3773584905660377,0.5665722379603401,40,7,125,60,0.42207792,0.8520264029502869,0.8676470588235294,0.25877192982456143,0.3986486486486487,0.59,59,9,169,71
17,0.578125,0.78067017,0.5991379,0.6785628795623779,0.7647058823529411,0.6303030303030303,0.6910299003322258,0.7334273624823695,104,32,61,35,0.59090906,0.6734570860862732,0.8109756097560976,0.5833333333333334,0.6785714285714286,0.7522624434389139,133,31,95,49
18,0.515625,0.7282437,0.7112069,0.5736936330795288,0.745,0.9030303030303031,0.8164383561643836,0.7720207253886011,149,51,16,16,0.7435065,0.5486713647842407,0.7898832684824902,0.8903508771929824,0.8371134020618557,0.8081210191082803,203,54,25,26
19,0.5,0.7860104,0.70258623,0.5700143575668335,0.7330097087378641,0.9151515151515152,0.8140161725067385,0.7633973710819009,151,55,14,12,0.76623374,0.5472483038902283,0.7867647058823529,0.9385964912280702,0.856,0.8130699088145895,214,58,14,22
20,0.546875,0.84106076,0.7112069,0.5665154457092285,0.75,0.8909090909090909,0.8144044321329641,0.7744994731296101,147,49,18,18,0.7467533,0.5620902180671692,0.79296875,0.8903508771929824,0.8388429752066116,0.810702875399361,203,53,25,27
21,0.484375,0.898313,0.67672414,0.6322873830795288,0.8082191780821918,0.7151515151515152,0.7588424437299036,0.787716955941255,118,28,47,39,0.6396104,0.6513777375221252,0.7969543147208121,0.6885964912280702,0.7388235294117647,0.7726377952755905,157,40,71,40
22,0.546875,0.69852674,0.40948275,0.8383968472480774,0.8333333333333334,0.21212121212121213,0.33816425120772947,0.5255255255255256,35,7,130,60,0.38961038,0.8805131912231445,0.7777777777777778,0.24561403508771928,0.3733333333333333,0.5426356589147286,56,16,172,64
23,0.484375,0.7906718,0.34913793,0.9347909092903137,0.7916666666666666,0.11515151515151516,0.20105820105820107,0.36398467432950193,19,5,146,62,0.30194804,0.9827604293823242,0.6857142857142857,0.10526315789473684,0.18250950570342203,0.32608695652173914,24,11,204,69
24,0.609375,0.64318514,0.31034482,0.9979752898216248,0.7777777777777778,0.04242424242424243,0.08045977011494253,0.17412935323383086,7,2,158,65,0.27597404,1.0488214492797852,0.6470588235294118,0.04824561403508772,0.08979591836734692,0.18581081081081077,11,6,217,74
25,0.484375,0.7876315,0.33620688,0.906282365322113,0.7391304347826086,0.10303030303030303,0.18085106382978725,0.3307392996108949,17,6,148,61,0.3181818,0.9452614784240723,0.75,0.11842105263157894,0.20454545454545453,0.3629032258064516,27,9,201,71
26,0.703125,0.63328815,0.36637932,0.8428465723991394,0.7368421052631579,0.1696969696969697,0.27586206896551724,0.44164037854889593,28,10,137,57,0.36038962,0.8731262683868408,0.7924528301886793,0.18421052631578946,0.298932384341637,0.4772727272727273,42,11,186,69
27,0.59375,0.70825666,0.51293105,0.7444351315498352,0.8170731707317073,0.40606060606060607,0.5425101214574899,0.6795131845841784,67,15,98,52,0.5,0.7609168887138367,0.8425925925925926,0.3991228070175439,0.5416666666666666,0.6893939393939394,91,17,137,63
28,0.484375,0.75828266,0.69827586,0.6115793585777283,0.7987421383647799,0.7696969696969697,0.7839506172839507,0.7927590511860175,127,32,38,35,0.7012987,0.609808087348938,0.8238095238095238,0.7587719298245614,0.7899543378995434,0.8099250936329587,173,37,55,43
